RecordID,AQI,PM10,PM2_5,NO2,SO2,O3,Temperature,Humidity,WindSpeed,RespiratoryCases,CardiovascularCases,HospitalAdmissions,HealthImpactScore,HealthImpactClass
75,353.43,145.77,92.85,138.85,55.55,25.57,25.89,55.36,0.56,20,7,5,100.00,0.00
76,364.50,169.76,185.43,34.55,29.28,268.93,11.57,45.95,2.20,10,3,1,100.00,0.00
77,385.64,275.03,180.28,170.53,62.09,293.95,33.19,39.22,18.29,5,2,1,100.00,0.00
78,37.02,240.25,17.98,28.01,41.01,286.35,24.51,84.03,3.15,11,5,1,70.83,1.00
79,179.23,135.34,26.39,80.16,14.54,255.61,22.91,84.53,11.45,7,8,0,100.00,0.00
80,57.93,215.61,99.10,15.05,68.96,254.07,1.04,98.91,4.55,8,7,3,88.84,0.00
81,431.55,175.87,21.32,109.04,12.96,198.33,10.39,30.08,0.41,3,1,2,100.00,0.00
82,311.65,147.71,69.12,133.95,19.07,247.86,11.70,89.94,1.69,9,2,1,100.00,0.00
83,165.45,57.69,29.68,188.24,81.77,62.50,26.68,58.41,14.20,13,6,1,88.46,0.00
84,31.78,139.18,127.21,147.87,66.01,116.37,20.92,63.23,3.65,15,3,2,77.39,1.00
85,155.49,73.75,189.90,108.22,63.10,192.25,-5.71,90.67,4.58,11,11,1,100.00,0.00
86,162.59,274.45,199.35,186.52,41.82,262.43,5.38,94.84,7.55,18,8,3,100.00,0.00
87,364.80,100.62,75.05,95.69,39.63,198.14,13.65,75.41,13.14,10,3,2,100.00,0.00
88,318.78,285.68,119.80,112.24,69.03,251.71,26.84,41.31,9.39,12,6,4,100.00,0.00
89,443.61,159.92,171.25,119.22,74.00,142.18,27.18,54.07,18.89,11,6,5,100.00,0.00
90,236.11,189.46,23.49,82.00,51.02,215.19,14.53,65.35,8.68,11,10,1,100.00,0.00
91,59.80,162.88,137.91,167.70,96.93,293.99,-4.15,84.58,3.98,12,7,2,100.00,0.00
92,356.62,38.81,81.77,37.04,95.57,46.05,4.65,69.22,10.72,8,8,3,100.00,0.00
93,380.39,112.75,41.23,110.97,41.24,278.08,2.73,42.89,9.02,10,3,1,100.00,0.00
94,280.64,29.74,80.55,144.45,82.06,156.71,29.05,47.61,15.74,6,4,1,100.00,0.00
95,385.48,186.89,15.19,180.80,54.33,192.97,-1.00,14.54,18.70,13,1,5,100.00,0.00
96,246.90,134.06,139.08,176.78,51.18,263.36,13.25,93.18,16.73,12,4,1,100.00,0.00
97,261.37,233.40,50.55,101.75,5.50,122.90,23.54,17.93,7.78,13,6,4,100.00,0.00
98,213.77,66.14,62.28,128.63,57.40,125.61,38.24,62.19,4.32,7,3,2,100.00,0.00
99,12.71,49.37,24.22,78.85,90.06,158.15,39.96,88.45,18.29,8,4,0,38.88,3.00
100,53.95,121.90,172.93,93.64,78.01,5.73,37.65,47.88,7.72,8,6,3,74.53,1.00
101,15.71,277.98,98.69,181.25,78.63,149.00,25.91,82.01,15.40,10,5,2,87.14,0.00
102,318.21,213.13,114.43,186.14,15.99,87.33,27.32,82.34,19.79,17,4,2,100.00,0.00
103,157.18,125.68,113.89,179.08,35.84,278.39,27.96,15.39,11.55,5,3,0,100.00,0.00
104,254.29,155.18,82.10,27.67,23.32,26.32,33.13,47.09,9.60,7,9,5,100.00,0.00
105,453.78,25.26,38.51,170.02,31.59,137.80,37.59,72.19,14.00,7,9,0,100.00,0.00
106,124.65,295.37,149.03,189.67,57.95,284.24,12.29,48.01,3.88,8,8,3,100.00,0.00
107,205.19,199.92,25.41,72.25,36.48,270.31,10.83,59.07,9.76,11,2,2,100.00,0.00
108,377.78,85.62,20.77,103.73,56.07,210.40,13.02,63.50,6.25,15,6,4,100.00,0.00
109,114.40,175.74,142.03,155.82,43.85,176.81,22.99,23.61,3.28,13,4,2,100.00,0.00
110,38.49,32.84,41.77,112.42,28.66,84.22,28.77,47.08,12.20,7,6,1,42.23,2.00
111,144.88,289.75,61.35,198.70,9.54,110.09,33.53,12.56,11.51,11,3,4,100.00,0.00
112,80.61,52.44,95.05,91.14,89.18,27.04,12.81,23.47,15.22,7,4,3,63.31,1.00
113,464.85,194.41,89.87,142.79,1.14,235.83,8.17,56.10,17.46,11,8,1,100.00,0.00
114,404.06,73.64,141.72,158.52,0.17,97.16,39.17,61.62,4.41,7,6,2,100.00,0.00
115,316.70,215.27,124.69,98.82,82.68,200.33,1.59,23.16,15.59,6,4,5,100.00,0.00
116,435.73,233.05,128.88,171.40,99.68,107.28,1.10,78.01,7.35,15,3,1,100.00,0.00
117,401.84,202.03,142.81,109.23,72.71,139.30,25.77,43.57,12.58,8,7,1,100.00,0.00
118,93.29,184.35,58.52,82.33,1.53,166.50,-1.02,92.86,17.00,7,3,4,82.29,0.00
119,446.28,267.74,64.47,21.56,22.67,240.56,9.97,44.89,5.12,9,7,2,100.00,0.00
120,269.67,23.59,87.60,78.68,97.18,63.35,4.62,23.48,12.02,9,4,2,100.00,0.00
121,403.72,99.27,61.49,146.79,80.86,119.63,-1.56,78.22,9.61,11,9,1,100.00,0.00
122,448.05,74.49,196.99,184.26,56.68,39.02,18.99,61.10,15.81,10,6,0,100.00,0.00
123,159.00,296.40,162.81,50.34,23.69,22.73,8.68,44.80,13.94,9,4,2,100.00,0.00
124,55.03,116.82,32.93,71.05,1.44,181.40,13.11,42.04,15.39,11,2,1,58.67,2.00
125,113.97,219.78,1.12,30.79,2.09,56.73,-0.21,23.57,5.76,18,2,2,64.97,1.00
126,213.55,205.42,8.56,138.14,61.20,17.94,28.39,40.68,14.09,8,5,2,100.00,0.00
127,409.01,63.62,48.81,192.04,2.18,269.13,5.74,12.64,12.12,7,6,2,100.00,0.00
128,430.37,71.70,22.86,128.19,99.36,160.29,7.14,55.22,9.13,3,5,2,100.00,0.00
129,3.48,84.39,106.67,123.42,18.34,40.39,2.61,90.71,7.57,11,7,4,47.60,2.00
130,255.37,123.34,171.60,110.70,71.07,16.03,11.72,81.58,6.63,14,8,0,100.00,0.00
131,208.71,70.30,147.35,17.69,15.51,35.96,13.18,12.57,0.19,8,3,5,100.00,0.00
132,111.05,5.90,43.12,145.90,54.01,141.40,16.48,89.31,3.39,10,5,1,72.97,1.00
133,59.93,263.82,79.86,120.41,8.06,200.54,38.38,50.71,1.18,8,6,2,90.85,0.00
134,168.81,289.68,101.58,132.30,76.68,192.38,35.23,27.18,16.97,14,9,2,100.00,0.00
135,471.45,102.47,162.04,179.76,58.49,43.33,20.47,77.72,17.20,10,2,4,100.00,0.00
136,161.60,101.55,167.82,156.79,8.62,190.05,-8.05,39.06,16.92,7,4,3,100.00,0.00
137,259.40,2.13,181.94,156.18,84.86,121.46,20.61,32.80,16.36,10,4,3,100.00,0.00
138,351.51,204.08,101.85,185.44,54.70,139.42,-5.52,24.52,4.43,11,9,1,100.00,0.00
139,181.81,247.63,138.85,197.99,92.16,240.43,25.52,53.80,9.84,13,7,1,100.00,0.00
140,485.89,43.98,22.36,116.26,91.66,99.75,9.50,18.41,18.16,11,9,1,100.00,0.00
141,481.22,47.90,113.06,21.78,92.05,44.10,31.88,80.71,15.20,13,8,0,100.00,0.00
142,125.89,237.02,49.74,91.83,7.78,262.04,37.13,52.36,0.04,10,6,2,100.00,0.00
143,248.62,184.89,86.34,157.52,12.10,63.64,10.86,50.23,9.19,8,5,1,100.00,0.00
144,150.44,13.46,126.81,5.55,98.77,88.21,13.03,10.17,0.21,10,10,1,85.49,0.00
145,142.42,186.76,51.40,11.38,48.76,211.98,19.51,83.61,5.61,11,5,4,95.20,0.00
146,18.44,92.68,10.44,13.43,23.82,205.07,-0.14,54.36,8.72,7,2,2,39.50,3.00
147,304.78,110.62,2.05,146.21,76.97,240.12,36.37,49.59,17.86,12,3,1,100.00,0.00
148,251.34,230.92,4.43,100.23,26.43,55.16,11.65,78.52,13.09,8,2,3,100.00,0.00
149,25.74,243.28,1.67,73.78,72.72,105.68,-1.66,15.66,7.25,9,4,2,53.69,2.00
150,139.32,120.11,22.07,21.12,83.73,37.76,28.14,43.00,9.81,10,6,5,66.40,1.00
151,454.13,284.15,47.90,146.45,78.43,162.31,0.96,61.82,16.35,10,7,1,100.00,0.00
152,119.78,121.94,44.24,64.20,27.40,87.77,-2.82,51.45,5.99,6,5,2,73.39,1.00
153,72.45,231.55,197.36,53.06,40.16,206.68,18.14,26.35,12.30,6,4,1,100.00,0.00
154,244.73,145.16,61.20,130.46,41.33,0.10,23.57,36.93,5.24,9,6,0,100.00,0.00
155,492.83,269.26,25.48,111.80,49.13,17.90,18.48,37.02,9.60,11,2,4,100.00,0.00
156,121.03,272.33,109.11,72.48,16.74,129.77,22.83,99.28,0.49,8,9,0,100.00,0.00
157,336.07,26.23,171.59,128.30,45.25,287.46,-4.22,39.36,17.05,11,8,5,100.00,0.00
158,380.81,280.95,135.61,54.24,51.08,267.26,13.80,28.47,0.97,13,4,6,100.00,0.00
159,118.82,247.66,59.22,158.97,53.17,298.20,7.85,84.04,4.49,13,3,2,100.00,0.00
160,364.11,237.39,112.32,45.86,81.99,125.05,38.67,47.91,6.67,7,6,0,100.00,0.00
161,183.89,60.27,142.97,31.77,51.73,13.97,-7.52,49.95,12.50,9,5,0,96.70,0.00
162,316.15,241.54,145.62,156.49,23.08,91.79,4.91,59.40,14.40,12,6,3,100.00,0.00
163,316.76,255.04,133.31,141.58,66.31,202.73,37.09,63.61,1.61,8,3,2,100.00,0.00
164,267.89,86.75,174.16,36.53,79.73,40.55,39.17,63.15,0.87,11,7,3,100.00,0.00
165,45.14,285.68,174.02,23.25,31.94,89.99,31.25,13.10,15.98,12,8,3,87.48,0.00
166,417.65,14.96,115.79,167.68,64.53,16.85,-6.20,83.70,14.24,11,6,0,100.00,0.00
167,160.39,44.97,85.97,155.32,14.69,142.49,18.07,27.54,16.63,12,2,0,98.59,0.00
168,93.26,161.27,128.31,65.45,34.19,62.68,10.01,36.31,13.53,13,6,1,83.11,0.00
169,20.39,172.74,163.64,131.64,90.92,27.37,30.32,25.61,15.02,12,9,2,74.30,1.00
170,295.45,193.55,1.13,24.83,91.13,123.36,-7.25,79.04,7.58,7,5,1,100.00,0.00
171,338.78,5.09,198.40,101.41,57.53,105.37,-0.14,62.53,11.80,9,8,0,100.00,0.00
172,8.29,288.11,36.58,3.75,70.24,161.26,14.46,77.98,16.11,10,7,2,57.10,2.00
173,256.05,13.38,94.05,78.32,85.40,224.71,-2.12,68.81,3.44,4,1,1,100.00,0.00
174,113.25,42.92,174.41,14.97,95.86,33.77,24.64,19.37,8.46,4,3,4,81.16,0.00
175,322.59,4.20,45.01,95.03,48.99,237.34,31.04,37.13,14.81,15,7,2,100.00,0.00
176,87.18,170.06,95.36,84.34,56.16,7.89,25.23,55.65,10.65,13,2,1,72.47,1.00
177,345.47,279.68,26.52,88.88,41.56,132.93,12.01,37.45,13.63,14,4,1,100.00,0.00
178,193.37,199.78,79.02,9.07,7.20,176.23,33.92,28.66,5.86,9,4,2,100.00,0.00
179,468.36,246.80,35.43,72.32,42.28,287.10,-3.12,88.28,0.65,10,3,2,100.00,0.00
180,68.76,3.98,72.73,151.30,79.06,172.18,3.02,77.30,0.58,4,6,3,71.69,1.00
181,170.53,162.60,74.69,73.78,80.49,47.62,14.48,41.07,18.86,6,4,1,96.86,0.00
182,56.74,137.87,198.63,143.03,89.24,155.26,-6.93,78.85,18.89,9,5,3,100.00,0.00
183,462.35,149.69,198.96,73.90,5.15,118.74,-5.22,66.48,4.23,7,4,5,100.00,0.00
184,438.67,21.66,22.96,84.65,52.72,143.81,9.87,10.34,2.95,11,2,0,100.00,0.00
185,128.97,205.33,145.19,112.78,10.74,59.13,37.19,44.22,0.36,12,3,2,100.00,0.00
186,329.99,150.97,10.35,190.14,20.07,150.25,35.42,36.14,4.63,7,4,0,100.00,0.00
187,408.61,229.54,6.04,21.77,90.02,45.01,13.30,29.61,6.69,9,3,1,100.00,0.00
188,277.60,145.59,21.07,6.58,49.68,223.21,-2.89,32.64,4.82,9,1,2,100.00,0.00
189,264.83,44.81,193.10,121.59,75.85,178.17,-1.09,94.81,15.95,13,6,3,100.00,0.00
190,120.93,194.48,188.17,189.82,6.44,23.56,8.88,53.77,14.99,12,4,0,100.00,0.00
191,46.55,51.72,38.79,197.94,41.68,266.88,0.50,86.29,1.62,6,6,4,75.35,1.00
192,448.61,261.72,32.33,96.83,67.42,184.91,-5.85,29.28,13.95,15,5,2,100.00,0.00
193,450.21,183.93,48.11,93.62,13.34,94.83,23.69,25.70,10.41,13,5,2,100.00,0.00
194,316.55,47.16,103.11,128.99,32.58,13.69,19.07,89.99,2.64,12,9,2,100.00,0.00
195,169.51,288.70,113.94,111.13,6.45,189.67,4.56,54.61,14.79,12,6,1,100.00,0.00
196,174.60,155.51,44.32,126.82,65.13,112.03,28.95,90.56,1.72,11,6,2,100.00,0.00
197,362.98,21.87,151.32,174.80,97.09,272.29,28.80,15.67,3.54,9,4,2,100.00,0.00
198,448.56,188.05,61.91,149.26,82.70,10.46,14.55,92.48,2.98,17,6,1,100.00,0.00
199,443.54,75.96,184.43,99.38,97.46,11.73,-5.17,47.39,18.78,6,5,4,100.00,0.00
200,389.94,241.11,131.34,92.37,84.56,284.79,35.92,23.98,13.96,7,10,2,100.00,0.00
201,321.02,245.35,87.27,127.92,85.52,289.46,23.43,71.50,8.23,14,12,1,100.00,0.00
202,42.07,293.68,157.98,91.14,57.72,8.32,2.35,81.72,16.44,6,6,2,85.48,0.00
203,80.81,150.56,163.58,91.56,51.83,214.81,20.52,14.26,4.32,14,1,1,100.00,0.00
204,449.28,136.49,58.10,3.26,40.63,66.45,10.25,98.85,18.62,9,3,1,100.00,0.00
205,303.21,226.04,67.94,34.81,81.81,210.42,21.77,72.73,13.94,11,3,3,100.00,0.00
206,4.60,39.74,187.19,97.70,18.21,260.62,13.69,38.93,11.19,9,3,0,78.29,1.00
207,50.74,164.07,32.95,164.53,5.62,30.25,14.27,23.62,15.89,8,8,1,56.47,2.00
208,331.75,163.87,8.43,55.75,94.79,71.63,26.79,45.33,12.90,10,9,1,100.00,0.00
209,2.53,26.84,90.81,104.53,0.38,7.22,20.69,29.85,17.74,7,3,6,30.88,3.00
210,80.40,125.40,160.24,68.99,97.68,13.15,-6.00,54.47,16.58,5,3,2,81.28,0.00
211,274.37,255.99,154.33,20.96,72.89,8.89,-6.73,80.37,3.96,7,3,4,100.00,0.00
212,345.95,256.85,183.91,191.66,32.85,240.20,5.25,69.41,4.79,7,3,2,100.00,0.00
213,325.98,29.77,106.64,170.93,69.78,89.49,11.51,49.23,1.30,6,3,3,100.00,0.00
214,112.13,27.22,20.01,15.70,81.79,147.96,3.76,20.70,4.40,11,9,2,60.41,1.00
215,356.09,78.81,117.74,143.96,24.54,236.35,22.57,96.14,6.87,11,3,4,100.00,0.00
216,118.62,262.43,155.68,69.52,77.09,148.48,-0.24,34.33,0.58,10,2,1,100.00,0.00
217,162.70,38.67,18.67,198.97,80.44,128.76,25.21,35.01,6.30,12,7,3,91.63,0.00
218,373.25,216.00,34.53,60.48,24.94,3.47,28.66,68.10,15.43,8,6,2,100.00,0.00
219,324.82,30.35,2.46,47.75,4.19,170.41,-3.78,79.35,16.81,11,9,1,100.00,0.00
220,424.61,186.94,118.73,113.58,20.41,37.42,22.54,98.57,0.18,7,5,7,100.00,0.00
221,328.81,106.82,177.35,167.03,20.06,229.39,38.07,97.22,0.14,9,3,2,100.00,0.00
222,284.15,236.67,134.13,38.50,6.52,77.32,-0.36,92.24,2.93,7,6,1,100.00,0.00
223,46.84,70.11,196.41,141.88,72.60,202.26,35.47,49.18,17.45,9,6,1,95.74,0.00
224,183.86,191.76,12.61,12.28,38.00,193.87,20.30,25.00,9.39,10,5,1,97.89,0.00
225,132.60,70.70,180.60,183.79,88.44,185.00,19.55,62.60,19.66,11,5,0,100.00,0.00
226,121.99,214.10,162.81,16.21,25.22,80.09,-7.40,11.55,17.75,7,1,2,100.00,0.00
227,486.51,262.10,62.85,182.85,45.32,80.13,27.42,27.66,17.80,8,4,2,100.00,0.00
228,196.55,38.04,194.71,98.16,63.90,258.91,13.91,10.23,2.57,8,7,4,100.00,0.00
229,446.02,259.98,57.59,89.62,87.75,3.84,26.06,26.25,9.50,11,3,4,100.00,0.00
230,315.57,178.07,177.86,194.66,52.46,54.46,30.46,52.73,19.87,6,5,2,100.00,0.00
231,397.41,38.13,176.15,198.08,37.35,183.05,16.19,45.40,2.98,12,8,1,100.00,0.00
232,251.32,128.26,151.53,130.04,86.70,245.11,3.18,43.24,11.48,12,4,3,100.00,0.00
233,288.45,48.26,112.69,25.42,31.02,107.50,-2.92,84.79,6.89,10,9,1,100.00,0.00
234,246.26,210.10,24.00,101.23,7.94,196.03,-1.97,70.75,7.76,3,4,3,100.00,0.00
235,97.62,227.66,106.39,105.83,44.50,167.15,33.35,94.28,17.82,12,3,5,100.00,0.00
236,361.23,31.74,71.36,102.89,78.51,19.36,-3.82,50.08,11.76,14,7,2,100.00,0.00
237,140.39,151.84,158.44,113.90,3.08,186.53,9.23,34.50,15.18,7,7,1,100.00,0.00
238,12.16,244.39,151.63,3.74,58.59,244.17,6.71,21.04,13.46,9,3,5,85.12,0.00
239,322.74,280.85,182.12,142.25,59.45,297.73,33.27,70.48,10.58,13,4,1,100.00,0.00
240,88.56,154.06,2.97,142.48,92.85,8.89,13.88,85.76,15.83,11,8,5,60.86,1.00
241,470.23,285.08,161.82,23.09,28.65,198.02,39.82,26.54,19.41,7,7,2,100.00,0.00
242,476.96,160.71,187.69,114.05,27.88,124.36,26.85,89.09,19.34,5,7,0,100.00,0.00
243,457.43,118.26,157.86,113.67,44.05,2.94,32.55,57.36,15.79,11,3,2,100.00,0.00
244,185.08,254.46,26.04,136.49,35.69,184.31,-5.07,22.97,9.75,5,7,1,100.00,0.00
245,7.73,147.89,16.26,17.08,73.63,36.73,2.66,67.86,3.26,9,6,1,29.13,3.00
246,464.16,141.57,4.17,125.30,64.18,113.57,-3.23,56.80,0.89,6,6,3,100.00,0.00
247,214.09,147.09,125.75,56.15,75.89,78.41,13.18,12.54,4.63,6,2,4,100.00,0.00
248,483.33,254.04,125.93,101.40,82.00,108.35,25.91,45.93,6.81,14,5,2,100.00,0.00
249,481.81,249.58,197.38,154.66,92.30,147.81,-1.55,80.63,2.60,6,10,2,100.00,0.00
250,426.50,121.06,79.61,141.13,43.09,107.76,-3.49,59.99,4.50,9,7,0,100.00,0.00
251,147.22,99.99,66.38,23.78,98.47,165.82,20.73,35.38,1.67,10,10,0,90.21,0.00
252,192.55,147.58,124.88,118.24,21.57,71.59,1.52,93.58,10.47,8,0,1,100.00,0.00
253,425.57,171.83,165.12,193.82,71.44,190.61,13.97,31.40,2.53,10,8,0,100.00,0.00
254,158.46,71.50,187.35,31.35,53.40,256.13,-7.44,32.75,14.86,9,5,2,100.00,0.00
255,84.75,238.19,160.62,170.58,81.69,67.22,24.03,41.92,6.65,13,4,2,100.00,0.00
256,278.40,145.94,85.33,140.51,47.68,152.36,17.07,90.51,13.44,7,5,2,100.00,0.00
257,468.08,100.21,126.98,154.80,78.39,194.61,22.37,55.69,17.65,11,6,4,100.00,0.00
258,348.01,32.05,171.26,56.39,93.02,169.39,3.77,71.40,1.72,12,7,2,100.00,0.00
259,285.03,71.65,98.12,57.58,73.23,109.69,3.93,97.86,19.78,10,5,1,100.00,0.00
260,48.59,284.78,43.34,181.20,77.61,192.66,30.07,80.50,12.90,10,2,2,90.84,0.00
261,307.50,91.53,33.94,71.97,6.72,8.47,25.93,25.53,1.07,13,4,1,100.00,0.00
262,495.03,50.66,0.03,12.60,20.50,110.97,18.99,80.95,6.28,10,5,2,100.00,0.00
263,70.04,138.20,143.65,120.12,97.43,159.78,21.41,77.35,17.72,9,3,0,94.47,0.00
264,259.16,92.13,22.22,24.96,69.32,6.18,-5.30,30.94,11.92,11,3,2,97.66,0.00
